folder,image,logical,corrColor,corrR,corrG,corrB,image_path,thisN,thisTrialN,thisRepN,spacebar.keys,spacebar.rt,spacebar.duration,blue.numClicks,blue.timesOn,blue.timesOff,yellow.numClicks,yellow.timesOn,yellow.timesOff,purple.numClicks,purple.timesOn,purple.timesOff,cyan.numClicks,cyan.timesOn,cyan.timesOff,red.numClicks,red.timesOn,red.timesOff,green.numClicks,green.timesOn,green.timesOff,slider.response,slider.rt,slider.history,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,button2.numClicks,button2.timesOn,button2.timesOff,blue_3.numClicks,blue_3.timesOn,blue_3.timesOff,yellow_3.numClicks,yellow_3.timesOn,yellow_3.timesOff,purple_3.numClicks,purple_3.timesOn,purple_3.timesOff,cyan_3.numClicks,cyan_3.timesOn,cyan_3.timesOff,red_3.numClicks,red_3.timesOn,red_3.timesOff,green_3.numClicks,green_3.timesOn,green_3.timesOff,Button3.numClicks,Button3.timesOn,Button3.timesOff,blue_2.numClicks,blue_2.timesOn,blue_2.timesOff,yellow_2.numClicks,yellow_2.timesOn,yellow_2.timesOff,purple_2.numClicks,purple_2.timesOn,purple_2.timesOff,cyan_2.numClicks,cyan_2.timesOn,cyan_2.timesOff,red_2.numClicks,red_2.timesOn,red_2.timesOff,green_2.numClicks,green_2.timesOn,green_2.timesOff,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Welcome.started,Welcome_info.started,PressEnter.started,PressEnterToContinue.started,Welcome.stopped,PressEnter.keys,PressEnter.rt,PressEnter.duration,img_Var.routineStartVal,initiate.started,initiate.stopped,img_Var.routineEndVal,logical_Var.routineEndVal,corrColor_Var.routineEndVal,corrR_Var.routineEndVal,corrG_Var.routineEndVal,corrB_Var.routineEndVal,filterCount.routineEndVal,img_Var1.routineEndVal,trial_counter.routineEndVal,answer.routineStartVal,trial_1.started,img.started,blue.started,yellow.started,purple.started,cyan.started,red.started,green.started,RBGInfo.started,R.started,G.started,B.started,spacebar.started,trial_1.stopped,corrColorVar.routineEndVal,filterChange.routineEndVal,trials.spacebar.keys,trials.spacebar.rt,trials.spacebar.duration,trials.blue.numClicks,trials.blue.timesOn,trials.blue.timesOff,trials.yellow.numClicks,trials.yellow.timesOn,trials.yellow.timesOff,trials.purple.numClicks,trials.purple.timesOn,trials.purple.timesOff,trials.cyan.numClicks,trials.cyan.timesOn,trials.cyan.timesOff,trials.red.numClicks,trials.red.timesOn,trials.red.timesOff,trials.green.numClicks,trials.green.timesOn,trials.green.timesOff,answer.routineEndVal,Pause350.started,text_8.started,text_8.stopped,Pause350.stopped,confidence.started,slider.started,text_9.started,mouse_2.started,text_answer.started,yellow_3.started,button2.started,confidence.stopped,trials.slider.response,trials.slider.rt,trials.slider.history,trials.mouse_2.x,trials.mouse_2.y,trials.mouse_2.leftButton,trials.mouse_2.midButton,trials.mouse_2.rightButton,trials.mouse_2.time,trials.mouse_2.clicked_name,trials.button2.numClicks,trials.button2.timesOn,trials.button2.timesOff,trials.blue_3.numClicks,trials.blue_3.timesOn,trials.blue_3.timesOff,trials.yellow_3.numClicks,trials.yellow_3.timesOn,trials.yellow_3.timesOff,trials.purple_3.numClicks,trials.purple_3.timesOn,trials.purple_3.timesOff,trials.cyan_3.numClicks,trials.cyan_3.timesOn,trials.cyan_3.timesOff,trials.red_3.numClicks,trials.red_3.timesOn,trials.red_3.timesOff,trials.green_3.numClicks,trials.green_3.timesOn,trials.green_3.timesOff,confirm.started,wrongAnswer.started,corrColor_2.started,blue_2.started,yellow_2.started,purple_2.started,cyan_2.started,red_2.started,green_2.started,RBGInfo_2.started,R_2.started,G_2.started,B_2.started,key_resp.started,green_2.stopped,Button3.started,correctAnswer.started,wrongAnswer.stopped,corrColor_2.stopped,blue_2.stopped,yellow_2.stopped,purple_2.stopped,cyan_2.stopped,red_2.stopped,confirm.stopped,trials.Button3.numClicks,trials.Button3.timesOn,trials.Button3.timesOff,trials.blue_2.numClicks,trials.blue_2.timesOn,trials.blue_2.timesOff,trials.yellow_2.numClicks,trials.yellow_2.timesOn,trials.yellow_2.timesOff,trials.purple_2.numClicks,trials.purple_2.timesOn,trials.purple_2.timesOff,trials.cyan_2.numClicks,trials.cyan_2.timesOn,trials.cyan_2.timesOff,trials.red_2.numClicks,trials.red_2.timesOn,trials.red_2.timesOff,trials.green_2.numClicks,trials.green_2.timesOn,trials.green_2.timesOff,trials.key_resp.keys,PauseEnd.started,text_11.started,text_11.stopped,PauseEnd.stopped,colorList.routineEndVal,blue_3.started,red_3.started,green_3.started,cyan_3.started,purple_3.started,congrats.started,GoodJob.started,congrats.stopped,trial_counter.endExpVal,colorList.expEndVal,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0.0084356,0.029385,0.8128309,1.0127952,1.490644,return,0.5182955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,016_Green.jpg,TRUE,Green,9,100,4,01-1/016_Green_0.png,0,0,0,"['space', 'space']","[9.858949500136077, 16.00946280010976]","[0.09755790000781417, 0.10687340004369617]",0,,,1,[23.670200599823147],[23.670228299917653],0,,,0,,,0,,,0,,,4,2.1473812,"[(4.0, 2.147381199989468)]","[0.17916666666666667, 0.07416666666666667]","[-0.004166666666666667, -0.2525]","[1, 1]","[0, 0]","[0, 0]","[2.024797299876809, 3.7899259999394417]","[None, 'button2']",1,[3.807829599827528],[3.8078550999052823],0,,,0,,,0,,,0,,,0,,,0,,,1,[12.719976799795404],[12.71999689983204],0,,,0,,,0,,,0,,,0,,,1,[11.164069099817425],[11.16408669995144],None,0,0,0,22,1.7594825,,,,,,,,,,,01-1/016_Green_0.png,1.5270737,1.5295756,01-1/016_Green_0.png,TRUE,Green,9,100,4,"[0.9289374998770654, 10.905254099983722, 16.98904799995944, 18.045645099831745]",01-1/016_Green_0.png,1,,1.6036559,1.7594825,1.7594825,1.7594825,1.7594825,1.7594825,1.7594825,1.7594825,1.7594825,1.7594825,1.7594825,1.7594825,2.4932577,25.2004887,Green,0,"['space', 'space']","[9.858949500136077, 16.00946280010976]","[0.09755790000781417, 0.10687340004369617]",0,,,1,[23.670200599823147],[23.670228299917653],0,,,0,,,0,,,0,,,Yellow,29.3610188,29.3782872,25.6237274,29.7121897,25.5675775,25.6237274,25.6237274,0.0167772,25.6237274,25.6237274,27.7575194,29.3603989,4,2.1473812,"[(4.0, 2.147381199989468)]","[0.17916666666666667, 0.07416666666666667]","[-0.004166666666666667, -0.2525]","[1, 1]","[0, 0]","[0, 0]","[2.024797299876809, 3.7899259999394417]","[None, 'button2']",1,[3.807829599827528],[3.8078550999052823],0,,,0,,,0,,,0,,,0,,,0,,,29.7460247,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,29.7908634,40.9068007,40.9403631,40.9403631,40.9403631,40.9403631,40.9403631,40.9403631,40.9403631,40.9403631,40.9403631,42.4318122,1,[12.719976799795404],[12.71999689983204],0,,,0,,,0,,,0,,,0,,,1,[11.164069099817425],[11.16408669995144],None,42.4323199,42.4434816,42.974698,42.7775475,"['Yellow', 'Green']",,,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,006_Blue.jpg,TRUE,Blue,2,6,100,01-1/006_Blue_0.png,1,1,0,['space'],[9.46011529979296],[0.11600280017592013],1,[24.77596369991079],[24.775985199958086],0,,,0,,,0,,,0,,,0,,,5,1.548181,"[(5.0, 1.5481809999328107)]","[0.3641666666666667, 0.04666666666666667]","[-0.0008333333333333334, -0.2916666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.4027521999087185, 3.16863640001975]","[None, 'button2']",1,[3.183798300102353],[3.183814999880269],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.4023015999700874],[1.4023161998484284],0,,,0,,,0,,,0,,,0,,,0,,,None,0,1,1,0,42.974698,,,,,,,,,,,01-1/006_Blue_0.png,42.7783815,42.7785824,01-1/006_Blue_0.png,TRUE,Blue,2,6,100,"[8.664500299841166, 10.559436499839649]",01-1/006_Blue_0.png,2,,42.7968287,42.974698,42.974698,42.974698,42.974698,42.974698,42.974698,42.974698,42.974698,42.974698,42.974698,42.974698,43.858262,67.5556685,Blue,2,['space'],[9.46011529979296],[0.11600280017592013],1,[24.77596369991079],[24.775985199958086],0,,,0,,,0,,,0,,,0,,,Blue,71.0920552,71.1098991,,71.4434591,67.9200691,67.9558354,67.9558354,0.0140895,67.9558354,,69.5233584,71.0915071,5,1.548181,"[(5.0, 1.5481809999328107)]","[0.3641666666666667, 0.04666666666666667]","[-0.0008333333333333334, -0.2916666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.4027521999087185, 3.16863640001975]","[None, 'button2']",1,[3.183798300102353],[3.183814999880269],0,,,0,,,0,,,0,,,0,,,0,,,71.4613841,,,,,,,,,71.4892988,71.4892988,71.4892988,71.4892988,71.4892988,,71.4892988,71.4892988,,,,,,,,72.8456963,1,[1.4023015999700874],[1.4023161998484284],0,,,0,,,0,,,0,,,0,,,0,,,None,72.846059,72.8589727,73.3737016,73.1939918,"['Yellow', 'Green', 'Blue']",67.9558354,,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,006_Yellow.jpg,TRUE,Yellow,100,100,9,01-1/006_Yellow_0.png,2,2,0,"['space', 'space', 'space']","[3.5125233000144362, 52.93570840009488, 57.7458120000083]","[0.11680199997499585, 0.11601860006339848, 0.09848919999785721]",0,,,1,[65.17503849999048],[65.17506059980951],0,,,0,,,0,,,0,,,5,1.5791745,"[(5.0, 1.5791744999587536)]","[0.37916666666666665, 0.058333333333333334]","[-0.006666666666666667, -0.2733333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.4720146998297423, 3.1715127998031676]","[None, 'button2']",1,[3.18271639989689],[3.182729799998924],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.9038269999437034],[0.9038487998768687],0,,,0,,,0,,,0,,,0,,,0,,,None,0,2,2,3,73.3737016,,,,,,,,,,,01-1/006_Yellow_0.png,73.1948323,73.1950249,01-1/006_Yellow_0.png,TRUE,Yellow,100,100,9,"[4.535432799952105, 53.00822279998101, 53.96453149989247, 55.46066029998474, 58.784395599970594]",01-1/006_Yellow_0.png,3,,73.2084805,73.3737016,73.3737016,73.3737016,73.3737016,73.3737016,73.3737016,73.3737016,73.3737016,73.3737016,73.3737016,73.3737016,74.2067185,138.3710145,Yellow,1,"['space', 'space', 'space']","[3.5125233000144362, 52.93570840009488, 57.7458120000083]","[0.11680199997499585, 0.11601860006339848, 0.09848919999785721]",0,,,1,[65.17503849999048],[65.17506059980951],0,,,0,,,0,,,0,,,Yellow,141.9071187,141.924163,,142.2579354,138.7316471,138.7700806,138.7700806,0.0102024,138.7700806,138.7700806,140.3701198,141.9058049,5,1.5791745,"[(5.0, 1.5791744999587536)]","[0.37916666666666665, 0.058333333333333334]","[-0.006666666666666667, -0.2733333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.4720146998297423, 3.1715127998031676]","[None, 'button2']",1,[3.18271639989689],[3.182729799998924],0,,,0,,,0,,,0,,,0,,,0,,,142.2717233,,,,,,,,,142.2869242,142.2869242,142.2869242,142.2869242,142.2869242,,142.2869242,142.2869242,,,,,,,,143.1626711,1,[0.9038269999437034],[0.9038487998768687],0,,,0,,,0,,,0,,,0,,,0,,,None,143.1631013,143.1731775,143.6879856,143.5066409,"['Yellow', 'Green', 'Blue', 'Yellow']",,,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,022_Blue.jpg,TRUE,Blue,4,0,99,01-1/022_Blue_0.png,3,3,0,"['space', 'space', 'space', 'space', 'space']","[4.36892669997178, 5.1342416000552475, 7.152701299870387, 8.000096899922937, 9.811203300021589]","[0.09707659995183349, 0.09790249983780086, 0.08861490013077855, 0.09785540006123483, 0.0975297000259161]",1,[16.027462899917737],[16.027483500074595],0,,,0,,,0,,,0,,,0,,,5,3.4459327,"[(5.0, 3.445932700065896)]","[0.3775, -0.02666666666666667]","[-0.004166666666666667, -0.31583333333333335]","[1, 1]","[0, 0]","[0, 0]","[3.337658000178635, 4.336453800089657]","[None, 'button2']",1,[4.3502879999578],[4.350301000056788],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.049596899887547],[1.0496171999257058],0,,,0,,,0,,,0,,,0,,,0,,,None,0,3,3,38,143.6879856,,,,,,,,,,,01-1/022_Blue_0.png,143.5074247,143.5076086,01-1/022_Blue_0.png,TRUE,Blue,4,0,99,"[5.472146299900487, 6.243569100042805, 8.231438300106674, 9.15148640004918, 10.046369899995625, 10.950475000077859]",01-1/022_Blue_0.png,4,,143.5190592,143.6879856,143.6879856,143.6879856,143.6879856,143.6879856,143.6879856,143.6879856,143.6879856,143.6879856,143.6879856,143.6879856,144.5711171,159.5361584,Blue,2,"['space', 'space', 'space', 'space', 'space']","[4.36892669997178, 5.1342416000552475, 7.152701299870387, 8.000096899922937, 9.811203300021589]","[0.09707659995183349, 0.09790249983780086, 0.08861490013077855, 0.09785540006123483, 0.0975297000259161]",1,[16.027462899917737],[16.027483500074595],0,,,0,,,0,,,0,,,0,,,Blue,164.2388374,164.2576716,,164.5900702,159.8993989,159.9358897,159.9358897,0.0128366,159.9358897,,163.4025553,164.2383615,5,3.4459327,"[(5.0, 3.445932700065896)]","[0.3775, -0.02666666666666667]","[-0.004166666666666667, -0.31583333333333335]","[1, 1]","[0, 0]","[0, 0]","[3.337658000178635, 4.336453800089657]","[None, 'button2']",1,[4.3502879999578],[4.350301000056788],0,,,0,,,0,,,0,,,0,,,0,,,164.6048262,,,,,,,,,164.6198038,164.6198038,164.6198038,164.6198038,164.6198038,,164.6198038,164.6198038,,,,,,,,165.6400731,1,[1.049596899887547],[1.0496171999257058],0,,,0,,,0,,,0,,,0,,,0,,,None,165.6404957,165.6565964,166.1866818,165.9895541,"['Yellow', 'Green', 'Blue', 'Yellow', 'Blue']",159.9358897,,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,021_Yellow.jpg,TRUE,Yellow,99,88,0,01-1/021_Yellow_0.png,4,4,0,"['space', 'space']","[5.970663199899718, 6.850330599816516]","[0.11574609996750951, 0.10685320012271404]",0,,,0,,,0,,,0,,,1,[12.454627100145444],[12.454654000001028],0,,,5,1.7153361,"[(5.0, 1.7153360999654979)]","[0.37416666666666665, 0.0225]","[-0.0025, -0.2708333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.6047044000588357, 2.9414329000283033]","[None, 'button2']",1,[2.9428646999876946],[2.942879900103435],0,,,0,,,0,,,0,,,0,,,0,,,1,[5.733319699997082],[5.733343999832869],0,,,1,[4.6612113998271525],[4.661230799974874],0,,,0,,,0,,,0,,,None,0,4,4,37,166.1866818,,,,,,,,,,,01-1/021_Yellow_0.png,165.9903153,165.99108,01-1/021_Yellow_0.png,TRUE,Yellow,99,88,0,"[5.780655500013381, 6.970130000030622, 7.8622907001990825, 8.923905000090599]",01-1/021_Yellow_0.png,5,,166.0106313,166.1866818,166.1866818,166.1866818,166.1866818,166.1866818,166.1866818,166.1866818,166.1866818,166.1866818,166.1866818,166.1866818,166.9371501,178.4461845,Yellow,0,"['space', 'space']","[5.970663199899718, 6.850330599816516]","[0.11574609996750951, 0.10685320012271404]",0,,,0,,,0,,,0,,,1,[12.454627100145444],[12.454654000001028],0,,,Red,181.7416216,181.7564422,182.1520286,182.0925776,178.7970614,178.8352858,178.8352858,0.0006053,178.8352858,,180.5683803,181.7410389,5,1.7153361,"[(5.0, 1.7153360999654979)]","[0.37416666666666665, 0.0225]","[-0.0025, -0.2708333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.6047044000588357, 2.9414329000283033]","[None, 'button2']",1,[2.9428646999876946],[2.942879900103435],0,,,0,,,0,,,0,,,0,,,0,,,182.1133763,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,182.1520286,186.7727929,186.8020259,186.8020259,186.8020259,186.8020259,186.8020259,186.7727929,186.7727929,186.7727929,186.7727929,187.8257273,1,[5.733319699997082],[5.733343999832869],0,,,1,[4.6612113998271525],[4.661230799974874],0,,,0,,,0,,,0,,,None,187.8262323,187.8380666,188.352601,188.1724617,"['Yellow', 'Green', 'Blue', 'Yellow', 'Blue', 'Red', 'Yellow']",,178.8352858,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,006_Red.jpg,TRUE,Red,98,0,0,01-1/006_Red_0.png,5,5,0,"['space', 'space', 'space', 'space']","[2.9503212000709027, 4.594952700193971, 6.165908700088039, 7.050098899984732]","[0.12505270005203784, 0.10643449984490871, 0.13397320010699332, 0.12523460015654564]",0,,,0,,,0,,,0,,,1,[12.944343800190836],[12.944367800140753],0,,,5,1.5795704,"[(5.0, 1.5795704000629485)]","[0.3883333333333333, 0.018333333333333333]","[-0.008333333333333333, -0.29583333333333334]","[1, 1]","[0, 0]","[0, 0]","[1.4397618998773396, 2.8366846998687834]","[None, 'button2']",1,[2.8492680999916047],[2.8492801999673247],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.0026402997318655],[1.0026598998811096],0,,,0,,,0,,,0,,,0,,,0,,,None,0,5,5,2,188.352601,,,,,,,,,,,01-1/006_Red_0.png,188.1731822,188.1733832,01-1/006_Red_0.png,TRUE,Red,98,0,0,"[3.9775086001027375, 5.6264816001057625, 7.2256058000493795, 8.139383500209078]",01-1/006_Red_0.png,6,,188.1876219,188.352601,188.352601,188.352601,188.352601,188.352601,188.352601,188.352601,188.352601,188.352601,188.352601,188.352601,189.1693073,201.1182486,Red,0,"['space', 'space', 'space', 'space']","[2.9503212000709027, 4.594952700193971, 6.165908700088039, 7.050098899984732]","[0.12505270005203784, 0.10643449984490871, 0.13397320010699332, 0.12523460015654564]",0,,,0,,,0,,,0,,,1,[12.944343800190836],[12.944367800140753],0,,,Red,204.3201853,204.3387009,,204.6718329,201.479655,201.5174441,201.5174441,0.011013,201.5174441,,203.1179099,204.3195537,5,1.5795704,"[(5.0, 1.5795704000629485)]","[0.3883333333333333, 0.018333333333333333]","[-0.008333333333333333, -0.29583333333333334]","[1, 1]","[0, 0]","[0, 0]","[1.4397618998773396, 2.8366846998687834]","[None, 'button2']",1,[2.8492680999916047],[2.8492801999673247],0,,,0,,,0,,,0,,,0,,,0,,,204.6895719,,,,,,,,,204.7177343,204.7177343,204.7177343,204.7177343,204.7177343,,204.7177343,204.7177343,,,,,,,,205.6740583,1,[1.0026402997318655],[1.0026598998811096],0,,,0,,,0,,,0,,,0,,,0,,,None,205.6743831,205.6862348,206.2356824,206.0208883,"['Yellow', 'Green', 'Blue', 'Yellow', 'Blue', 'Red', 'Yellow', 'Red']",,201.5174441,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,012_Green.jpg,TRUE,Green,3,94,4,01-1/012_Green_0.png,6,6,0,"['space', 'space', 'space', 'space']","[2.3616629000753164, 6.025380800012499, 6.817479900084436, 7.676673199981451]","[0.10654690000228584, 0.11578750004991889, 0.13405489991419017, 0.13400950003415346]",0,,,0,,,0,,,0,,,0,,,1,[12.700021999888122],[12.700039099901915],5,1.6504973,"[(5.0, 1.6504973000846803)]","[0.36666666666666664, 0.04]","[0.005833333333333334, -0.2733333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.54024269990623, 2.4390905001200736]","[None, 'button2']",1,[2.444557599723339],[2.444571799831465],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.3884648997336626],[1.3884830998722464],0,,,0,,,0,,,0,,,0,,,0,,,None,0,6,6,17,206.2356824,,,,,,,,,,,01-1/012_Green_0.png,206.0217049,206.0224699,01-1/012_Green_0.png,TRUE,Green,3,94,4,"[3.347797399852425, 6.332491699839011, 7.100898399949074, 7.866741299862042, 8.766239499906078]",01-1/012_Green_0.png,7,,206.0389085,206.2356824,206.2356824,206.2356824,206.2356824,206.2356824,206.2356824,206.2356824,206.2356824,206.2356824,206.2356824,206.2356824,206.9854918,218.722797,Green,1,"['space', 'space', 'space', 'space']","[2.3616629000753164, 6.025380800012499, 6.817479900084436, 7.676673199981451]","[0.10654690000228584, 0.11578750004991889, 0.13405489991419017, 0.13400950003415346]",0,,,0,,,0,,,0,,,0,,,1,[12.700021999888122],[12.700039099901915],Green,221.5198657,221.5376674,219.1168887,221.8712997,219.0776978,219.1168887,219.1168887,0.0045886,219.1168887,,220.7837886,221.5193225,5,1.6504973,"[(5.0, 1.6504973000846803)]","[0.36666666666666664, 0.04]","[0.005833333333333334, -0.2733333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.54024269990623, 2.4390905001200736]","[None, 'button2']",1,[2.444557599723339],[2.444571799831465],0,,,0,,,0,,,0,,,0,,,0,,,221.888433,,,,,,,,,221.9165069,221.9165069,221.9165069,221.9165069,221.9165069,,221.9165069,221.9165069,,,,,,,,223.2598454,1,[1.3884648997336626],[1.3884830998722464],0,,,0,,,0,,,0,,,0,,,0,,,None,223.2602497,223.2698775,223.8014536,223.6040796,"['Yellow', 'Green', 'Blue', 'Yellow', 'Blue', 'Red', 'Yellow', 'Red', 'Green']",,,219.1168887,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,022_Cyan.jpg,TRUE,Cyan,0,96,90,01-1/022_Cyan_0.png,7,7,0,['space'],[1.9309980999678373],[0.11554010002873838],0,,,0,,,0,,,1,[12.28598319995217],[12.286000299965963],0,,,0,,,5,1.5804658,"[(5.0, 1.5804657998960465)]","[0.37833333333333335, 0.0125]","[-0.0008333333333333334, -0.2916666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.4720012000761926, 2.4070186000317335]","[None, 'button2']",1,[2.4094733998645097],[2.409489599755034],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.9857040997594595],[0.9857233997900039],0,,,0,,,0,,,0,,,0,,,0,,,None,0,7,7,39,223.8014536,,,,,,,,,,,01-1/022_Cyan_0.png,223.6049038,223.6057333,01-1/022_Cyan_0.png,TRUE,Cyan,0,96,90,"[2.9614127001259476, 5.9715915999840945]",01-1/022_Cyan_0.png,8,,223.6184561,223.8014536,223.8014536,223.8014536,223.8014536,223.8014536,223.8014536,223.8014536,223.8014536,223.8014536,223.8014536,223.8014536,224.5348172,235.8922529,Cyan,2,['space'],[1.9309980999678373],[0.11554010002873838],0,,,0,,,0,,,1,[12.28598319995217],[12.286000299965963],0,,,0,,,Cyan,238.6544403,238.6705993,236.2839908,239.00487,236.2441178,236.2839908,236.2839908,0.0015623,236.2839908,,237.8824948,238.6538152,5,1.5804658,"[(5.0, 1.5804657998960465)]","[0.37833333333333335, 0.0125]","[-0.0008333333333333334, -0.2916666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.4720012000761926, 2.4070186000317335]","[None, 'button2']",1,[2.4094733998645097],[2.409489599755034],0,,,0,,,0,,,0,,,0,,,0,,,239.0261274,,,,,,,,,239.0499509,239.0499509,239.0499509,239.0499509,239.0499509,,239.0499509,239.0499509,,,,,,,,239.9915985,1,[0.9857040997594595],[0.9857233997900039],0,,,0,,,0,,,0,,,0,,,0,,,None,239.9919627,240.0029444,240.5508183,240.3377588,"['Yellow', 'Green', 'Blue', 'Yellow', 'Blue', 'Red', 'Yellow', 'Red', 'Green', 'Cyan']",,,,236.2839908,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
01/Jan,022_Yellow.jpg,TRUE,Yellow,98,91,2,01-1/022_Yellow_0.png,8,8,0,"['space', 'space', 'space']","[13.702896599890664, 14.555120999924839, 15.42999539989978]","[0.14293590001761913, 0.1069499000441283, 0.11639380012638867]",0,,,1,[20.275665000081062],[20.275680100079626],0,,,0,,,0,,,0,,,5,1.1642661,"[(5.0, 1.164266100153327)]","[0.38333333333333336, 0.075]","[-0.0075, -0.2725]","[1, 1]","[0, 0]","[0, 0]","[1.0185101001989096, 2.0850089001469314]","[None, 'button2']",1,[2.100531099829823],[2.1005461998283863],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.8368543998803943],[0.8368736000265926],0,,,0,,,0,,,0,,,0,,,0,,,None,0,8,8,43,240.5508183,,,,,,,,,,,01-1/022_Yellow_0.png,240.3385976,240.3393447,01-1/022_Yellow_0.png,TRUE,Yellow,98,91,2,"[7.815441800048575, 14.74552180012688, 15.52712170011364, 16.468430600129068]",01-1/022_Yellow_0.png,9,,240.3564863,240.5508183,240.5508183,240.5508183,240.5508183,240.5508183,240.5508183,240.5508183,240.5508183,240.5508183,240.5508183,240.5508183,241.3007515,260.6156738,Yellow,0,"['space', 'space', 'space']","[13.702896599890664, 14.555120999924839, 15.42999539989978]","[0.14293590001761913, 0.1069499000441283, 0.11639380012638867]",0,,,1,[20.275665000081062],[20.275680100079626],0,,,0,,,0,,,0,,,Yellow,263.0687758,263.0862068,,263.4193912,260.9798654,261.0156072,261.0156072,0.0139337,261.0156072,261.0156072,262.1992524,263.0682313,5,1.1642661,"[(5.0, 1.164266100153327)]","[0.38333333333333336, 0.075]","[-0.0075, -0.2725]","[1, 1]","[0, 0]","[0, 0]","[1.0185101001989096, 2.0850089001469314]","[None, 'button2']",1,[2.100531099829823],[2.1005461998283863],0,,,0,,,0,,,0,,,0,,,0,,,263.4439704,,,,,,,,,263.4650366,263.4650366,263.4650366,263.4650366,263.4650366,,263.4650366,263.4650366,,,,,,,,264.2573067,1,[0.8368543998803943],[0.8368736000265926],0,,,0,,,0,,,0,,,0,,,0,,,None,264.2577097,264.2699855,264.7832228,264.6036134,"['Yellow', 'Green', 'Blue', 'Yellow', 'Blue', 'Red', 'Yellow', 'Red', 'Green', 'Cyan', 'Yellow']",,,,,,,,,,,2,2,2026-03-19_14h54.39.338,Baseline,,2026.01.01,60.10532857,2026-03-19 14h54.40.977751 +0100
