folder,image,logical,corrColor,corrR,corrG,corrB,image_path,oldColor,thisN,thisTrialN,thisRepN,spacebar.keys,spacebar.rt,spacebar.duration,blue.numClicks,blue.timesOn,blue.timesOff,yellow.numClicks,yellow.timesOn,yellow.timesOff,purple.numClicks,purple.timesOn,purple.timesOff,cyan.numClicks,cyan.timesOn,cyan.timesOff,red.numClicks,red.timesOn,red.timesOff,green.numClicks,green.timesOn,green.timesOff,slider.response,slider.rt,slider.history,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,button2.numClicks,button2.timesOn,button2.timesOff,blue_3.numClicks,blue_3.timesOn,blue_3.timesOff,yellow_3.numClicks,yellow_3.timesOn,yellow_3.timesOff,purple_3.numClicks,purple_3.timesOn,purple_3.timesOff,cyan_3.numClicks,cyan_3.timesOn,cyan_3.timesOff,red_3.numClicks,red_3.timesOn,red_3.timesOff,green_3.numClicks,green_3.timesOn,green_3.timesOff,Button3.numClicks,Button3.timesOn,Button3.timesOff,blue_2.numClicks,blue_2.timesOn,blue_2.timesOff,yellow_2.numClicks,yellow_2.timesOn,yellow_2.timesOff,purple_2.numClicks,purple_2.timesOn,purple_2.timesOff,cyan_2.numClicks,cyan_2.timesOn,cyan_2.timesOff,red_2.numClicks,red_2.timesOn,red_2.timesOff,green_2.numClicks,green_2.timesOn,green_2.timesOff,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Welcome.started,Welcome_info.started,PressEnter.started,PressEnterToContinue.started,Welcome.stopped,PressEnter.keys,PressEnter.rt,PressEnter.duration,img_Var.routineStartVal,initiate.started,initiate.stopped,img_Var.routineEndVal,logical_Var.routineEndVal,corrColor_Var.routineEndVal,corrR_Var.routineEndVal,corrG_Var.routineEndVal,corrB_Var.routineEndVal,filterCount.routineEndVal,img_Var1.routineEndVal,trial_counter.routineEndVal,answer.routineStartVal,trial_1.started,img.started,blue.started,yellow.started,purple.started,cyan.started,red.started,green.started,RBGInfo.started,G.started,B.started,R.started,spacebar.started,trial_1.stopped,corrColorVar.routineEndVal,filterChange.routineEndVal,trials.spacebar.keys,trials.spacebar.rt,trials.spacebar.duration,trials.blue.numClicks,trials.blue.timesOn,trials.blue.timesOff,trials.yellow.numClicks,trials.yellow.timesOn,trials.yellow.timesOff,trials.purple.numClicks,trials.purple.timesOn,trials.purple.timesOff,trials.cyan.numClicks,trials.cyan.timesOn,trials.cyan.timesOff,trials.red.numClicks,trials.red.timesOn,trials.red.timesOff,trials.green.numClicks,trials.green.timesOn,trials.green.timesOff,answer.routineEndVal,Pause350.started,text_8.started,text_8.stopped,Pause350.stopped,confidence.started,slider.started,text_9.started,mouse_2.started,text_answer.started,cyan_3.started,button2.started,confidence.stopped,trials.slider.response,trials.slider.rt,trials.slider.history,trials.mouse_2.x,trials.mouse_2.y,trials.mouse_2.leftButton,trials.mouse_2.midButton,trials.mouse_2.rightButton,trials.mouse_2.time,trials.mouse_2.clicked_name,trials.button2.numClicks,trials.button2.timesOn,trials.button2.timesOff,trials.blue_3.numClicks,trials.blue_3.timesOn,trials.blue_3.timesOff,trials.yellow_3.numClicks,trials.yellow_3.timesOn,trials.yellow_3.timesOff,trials.purple_3.numClicks,trials.purple_3.timesOn,trials.purple_3.timesOff,trials.cyan_3.numClicks,trials.cyan_3.timesOn,trials.cyan_3.timesOff,trials.red_3.numClicks,trials.red_3.timesOn,trials.red_3.timesOff,trials.green_3.numClicks,trials.green_3.timesOn,trials.green_3.timesOff,confirm.started,Button3.started,correctAnswer.started,RBGInfo_2.started,R_2.started,G_2.started,B_2.started,key_resp.started,confirm.stopped,trials.Button3.numClicks,trials.Button3.timesOn,trials.Button3.timesOff,trials.blue_2.numClicks,trials.blue_2.timesOn,trials.blue_2.timesOff,trials.yellow_2.numClicks,trials.yellow_2.timesOn,trials.yellow_2.timesOff,trials.purple_2.numClicks,trials.purple_2.timesOn,trials.purple_2.timesOff,trials.cyan_2.numClicks,trials.cyan_2.timesOn,trials.cyan_2.timesOff,trials.red_2.numClicks,trials.red_2.timesOn,trials.red_2.timesOff,trials.green_2.numClicks,trials.green_2.timesOn,trials.green_2.timesOff,trials.key_resp.keys,PauseEnd.started,text_11.started,text_11.stopped,PauseEnd.stopped,colorList.routineEndVal,blue_3.started,red_3.started,green_3.started,yellow_3.started,purple_3.started,wrongAnswer.started,corrColor_2.started,blue_2.started,yellow_2.started,purple_2.started,cyan_2.started,red_2.started,green_2.started,purple_2.stopped,cyan_2.stopped,red_2.stopped,green_2.stopped,wrongAnswer.stopped,corrColor_2.stopped,blue_2.stopped,yellow_2.stopped,congrats.started,GoodJob.started,congrats.stopped,trial_counter.endExpVal,colorList.expEndVal,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.016143199987709522,0.037216999975498766,0.8028271999792196,1.0028193999896757,17.13034659999539,return,16.198842899990268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,025_Cyan.jpg,True,Cyan,7,100,99,01-2/025_Cyan_0.png,None,0,0,0,"['space', 'space']","[5.50559320001048, 6.770665299991379]","[0.12679369997931644, 0.1252585000183899]",0,,,0,,,0,,,1,[19.79726330001722],[19.797281400009524],0,,,0,,,5.0,1.67992769999546,"[(5.0, 1.67992769999546)]","[0.36916666666666664, 0.065]","[-0.009166666666666667, -0.275]","[1, 1]","[0, 0]","[0, 0]","[1.441565500019351, 3.107259200012777]","[None, 'button2']",1,[3.1129492000036407],[3.112953200004995],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.4017737999965902],[1.4017883999913465],0,,,0,,,0,,,0,,,0,,,0,,,None,0,0,0,22,17.38322319998406,,,,,,,,,,,01-2/025_Cyan_0.png,17.187333199981367,17.18809689997579,01-2/025_Cyan_0.png,True,Cyan,7,100,99,"[6.397722399997292, 7.652194499998586]",01-2/025_Cyan_0.png,1,,17.224741599988192,17.38322319998406,17.38322319998406,17.38322319998406,17.38322319998406,17.38322319998406,17.38322319998406,17.38322319998406,17.38322319998406,17.38322319998406,17.38322319998406,17.449394700000994,18.04960209998535,36.988093299994944,Cyan,2,"['space', 'space']","[5.50559320001048, 6.770665299991379]","[0.12679369997931644, 0.1252585000183899]",0,,,0,,,0,,,1,[19.79726330001722],[19.797281400009524],0,,,0,,,Cyan,40.452122599992435,40.466640099999495,40.86520549998386,40.801590999995824,37.343514899985166,37.382467599993106,37.382467599993106,0.005259400000795722,37.382467599993106,37.382467599993106,39.05007159998058,40.45191109998268,5.0,1.67992769999546,"[(5.0, 1.67992769999546)]","[0.36916666666666664, 0.065]","[-0.009166666666666667, -0.275]","[1, 1]","[0, 0]","[0, 0]","[1.441565500019351, 3.107259200012777]","[None, 'button2']",1,[3.1129492000036407],[3.112953200004995],0,,,0,,,0,,,0,,,0,,,0,,,40.82803559998865,40.86520549998386,40.86520549998386,40.86520549998386,40.86520549998386,40.86520549998386,40.86520549998386,40.86520549998386,42.206113899999764,1,[1.4017737999965902],[1.4017883999913465],0,,,0,,,0,,,0,,,0,,,0,,,None,42.206582599988906,42.2172943999758,42.66544049998629,42.55067599998438,['Cyan'],,,,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,006_Blue.jpg,True,Blue,2,6,100,01-2/006_Blue_0.png,None,1,1,0,"['space', 'space']","[5.232704800000647, 6.010451299982378]","[0.12491600000066683, 0.11581780001870357]",1,[10.88001580000855],[10.880025700025726],0,,,0,,,0,,,0,,,0,,,5.0,1.4144353999872692,"[(5.0, 1.4144353999872692)]","[0.36583333333333334, 0.034166666666666665]","[0.0008333333333333334, -0.2925]","[1, 1]","[0, 0]","[0, 0]","[1.1732909999846015, 2.6732605999859516]","[None, 'button2']",1,[2.6831489999894984],[2.6831611999950837],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6514988999988418],[0.6515093999914825],0,,,0,,,0,,,0,,,0,,,0,,,None,0,1,1,0,42.66544049998629,,,,,,,,,,,01-2/006_Blue_0.png,42.5513863999804,42.551543799985666,01-2/006_Blue_0.png,True,Blue,2,6,100,"[6.239045399997849, 6.982413899997482]",01-2/006_Blue_0.png,2,,42.55679819997749,42.66544049998629,42.66544049998629,42.66544049998629,42.66544049998629,42.66544049998629,42.66544049998629,42.66544049998629,42.66544049998629,42.66544049998629,42.66544049998629,42.81509819999337,43.449748399987584,53.4340014999907,Blue,2,"['space', 'space']","[5.232704800000647, 6.010451299982378]","[0.12491600000066683, 0.11581780001870357]",1,[10.88001580000855],[10.880025700025726],0,,,0,,,0,,,0,,,0,,,Blue,56.46972709998954,56.486603400000604,,56.820106399973156,53.793175200000405,53.833511299977545,53.833511299977545,0.008977499994216487,53.833511299977545,,55.26635239997995,56.469209499977296,5.0,1.4144353999872692,"[(5.0, 1.4144353999872692)]","[0.36583333333333334, 0.034166666666666665]","[0.0008333333333333334, -0.2925]","[1, 1]","[0, 0]","[0, 0]","[1.1732909999846015, 2.6732605999859516]","[None, 'button2']",1,[2.6831489999894984],[2.6831611999950837],0,,,0,,,0,,,0,,,0,,,0,,,56.83640859997831,56.8485058999795,56.8485058999795,56.8485058999795,56.8485058999795,56.8485058999795,56.8485058999795,56.8485058999795,57.47267049999209,1,[0.6514988999988418],[0.6515093999914825],0,,,0,,,0,,,0,,,0,,,0,,,None,57.47295749999466,57.48427059999085,57.937668799975654,57.816920499986736,"['Cyan', 'Blue']",53.833511299977545,,,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,012_Blue.jpg,False,Blue,3,4,94,01-2/012_Blue_0.png,Blue,2,2,0,"['space', 'space']","[3.4700803000014275, 4.149661100003868]","[0.12496839999221265, 0.13399659999413416]",1,[27.684931100026006],[27.684938600024907],0,,,0,,,0,,,0,,,0,,,5.0,1.9000238000007812,"[(5.0, 1.9000238000007812)]","[0.36083333333333334, 0.011666666666666667]","[0.019166666666666665, -0.2891666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.6670225000125356, 3.433733600017149]","[None, 'button2']",1,[3.4593693999922834],[3.4593808999925386],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7016580000054091],[0.7016737000085413],0,,,0,,,0,,,0,,,0,,,0,,,None,0,2,2,6,57.937668799975654,,,,,,,,,,,01-2/012_Blue_0.png,57.81725169997662,57.81734629999846,01-2/012_Blue_0.png,False,Blue,3,4,94,"[4.4378113000129815, 5.039295700000366]",01-2/012_Blue_0.png,3,,57.81961799997953,57.937668799975654,57.937668799975654,57.937668799975654,57.937668799975654,57.937668799975654,57.937668799975654,57.937668799975654,57.937668799975654,57.937668799975654,57.937668799975654,58.09844189998694,58.68371269997442,85.50446709999233,Blue,2,"['space', 'space']","[3.4700803000014275, 4.149661100003868]","[0.12496839999221265, 0.13399659999413416]",1,[27.684931100026006],[27.684938600024907],0,,,0,,,0,,,0,,,0,,,Blue,89.31641819997458,89.33275349999894,89.69591839998611,89.6661141999939,85.8514030999795,85.87989519999246,85.87989519999246,0.025395799981197342,85.87989519999246,,87.796385499998,89.31588899999042,5.0,1.9000238000007812,"[(5.0, 1.9000238000007812)]","[0.36083333333333334, 0.011666666666666667]","[0.019166666666666665, -0.2891666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.6670225000125356, 3.433733600017149]","[None, 'button2']",1,[3.4593693999922834],[3.4593808999925386],0,,,0,,,0,,,0,,,0,,,0,,,89.67729359999066,89.69591839998611,89.69591839998611,89.69591839998611,89.69591839998611,89.69591839998611,89.69591839998611,89.69591839998611,90.37024699998437,1,[0.7016580000054091],[0.7016737000085413],0,,,0,,,0,,,0,,,0,,,0,,,None,90.37062099998002,90.3824037000013,90.81384839999373,90.71613200000138,"['Cyan', 'Blue', 'Blue']",85.87989519999246,,,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,022_Cyan.jpg,True,Cyan,0,96,90,01-2/022_Cyan_0.png,None,3,3,0,"['space', 'space']","[1.2505604999896605, 2.7971692999999505]","[0.13404510001419112, 0.1706308999855537]",0,,,0,,,0,,,1,[7.730437099991832],[7.730444799992256],0,,,0,,,5.0,1.4677798000047915,"[(5.0, 1.4677798000047915)]","[0.3575, 0.023333333333333334]","[0.004166666666666667, -0.2975]","[1, 1]","[0, 0]","[0, 0]","[1.2316583000065293, 2.6320421999844257]","[None, 'button2']",1,[2.632954799977597],[2.6329597999865655],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.8522285000071861],[0.8522424999973737],0,,,0,,,0,,,0,,,0,,,0,,,None,0,3,3,17,90.81384839999373,,,,,,,,,,,01-2/022_Cyan_0.png,90.71700219999184,90.71717249997891,01-2/022_Cyan_0.png,True,Cyan,0,96,90,"[2.1716557999898214, 3.7025165999948513]",01-2/022_Cyan_0.png,4,,90.72271949998685,90.81384839999373,90.81384839999373,90.81384839999373,90.81384839999373,90.81384839999373,90.81384839999373,90.81384839999373,90.81384839999373,90.81384839999373,90.81384839999373,91.0298890999984,91.61345049997908,98.4491250999854,Cyan,2,"['space', 'space']","[1.2505604999896605, 2.7971692999999505]","[0.13404510001419112, 0.1706308999855537]",0,,,0,,,0,,,1,[7.730437099991832],[7.730444799992256],0,,,0,,,Cyan,101.43322709997301,101.4481571999786,101.81313679998857,101.78282549997675,98.79973659999087,98.82866349999676,98.82866349999676,0.00044839998008683324,98.82866349999676,98.82866349999676,100.29759149998426,101.43302259998745,5.0,1.4677798000047915,"[(5.0, 1.4677798000047915)]","[0.3575, 0.023333333333333334]","[0.004166666666666667, -0.2975]","[1, 1]","[0, 0]","[0, 0]","[1.2316583000065293, 2.6320421999844257]","[None, 'button2']",1,[2.632954799977597],[2.6329597999865655],0,,,0,,,0,,,0,,,0,,,0,,,101.79169539999566,101.81313679998857,101.81313679998857,101.81313679998857,101.81313679998857,101.81313679998857,101.81313679998857,101.81313679998857,102.63740269999835,1,[0.8522285000071861],[0.8522424999973737],0,,,0,,,0,,,0,,,0,,,0,,,None,102.63772669999162,102.64939299999969,103.08255579997785,102.983828299999,"['Cyan', 'Blue', 'Blue', 'Cyan']",,,,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,018_Red.jpg,True,Red,97,0,11,01-2/018_Red_0.png,None,4,4,0,"['space', 'space']","[0.9819645999814384, 1.6060233000025619]","[0.10241750002023764, 0.15171239999472164]",0,,,0,,,0,,,0,,,1,[5.436613300000317],[5.4366229999868665],0,,,5.0,1.1322016000049189,"[(5.0, 1.1322016000049189)]","[0.37583333333333335, 0.05416666666666667]","[-0.0033333333333333335, -0.275]","[1, 1]","[0, 0]","[0, 0]","[0.893351700011408, 2.0730922000075225]","[None, 'button2']",1,[2.0737904999696184],[2.0738008999906015],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6349826999939978],[0.6350008999870624],0,,,0,,,0,,,0,,,0,,,0,,,None,0,4,4,12,103.08255579997785,,,,,,,,,,,01-2/018_Red_0.png,102.98443209999823,102.98456389998319,01-2/018_Red_0.png,True,Red,97,0,11,"[1.9356305999972392, 2.5755133999919053]",01-2/018_Red_0.png,5,,102.98862269998062,103.08255579997785,103.08255579997785,103.08255579997785,103.08255579997785,103.08255579997785,103.08255579997785,103.08255579997785,103.08255579997785,103.08255579997785,103.08255579997785,103.35031519999029,103.89867209998192,108.4226366999792,Red,2,"['space', 'space']","[0.9819645999814384, 1.6060233000025619]","[0.10241750002023764, 0.15171239999472164]",0,,,0,,,0,,,0,,,1,[5.436613300000317],[5.4366229999868665],0,,,Red,110.84896309999749,110.86645989998942,108.79582129998016,111.19936119997874,108.77253599997493,108.79582129998016,108.79582129998016,-0.0001860000193119049,108.79582129998016,,109.9320136999886,110.84853309998289,5.0,1.1322016000049189,"[(5.0, 1.1322016000049189)]","[0.37583333333333335, 0.05416666666666667]","[-0.0033333333333333335, -0.275]","[1, 1]","[0, 0]","[0, 0]","[0.893351700011408, 2.0730922000075225]","[None, 'button2']",1,[2.0737904999696184],[2.0738008999906015],0,,,0,,,0,,,0,,,0,,,0,,,111.21232319998671,111.22905209998135,111.22905209998135,111.22905209998135,111.22905209998135,111.22905209998135,111.22905209998135,111.22905209998135,111.83615439999267,1,[0.6349826999939978],[0.6350008999870624],0,,,0,,,0,,,0,,,0,,,0,,,None,111.83657029998722,111.84932639999897,112.26354609997361,112.1824824999785,"['Cyan', 'Blue', 'Blue', 'Cyan', 'Red']",,108.79582129998016,,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,024_Green.jpg,True,Green,2,100,1,01-2/024_Green_0.png,None,5,5,0,"['space', 'space']","[0.4255684999807272, 1.523872299992945]","[0.09795110000413842, 0.13414430001284927]",0,,,0,,,0,,,0,,,0,,,1,[5.378191399999196],[5.3781980000203475],5.0,1.2801216999941971,"[(5.0, 1.2801216999941971)]","[0.38333333333333336, 0.0575]","[0.0, -0.305]","[1, 1]","[0, 0]","[0, 0]","[1.043215899990173, 2.4425704999885056]","[None, 'button2']",1,[2.451123099977849],[2.4511268999776803],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7008521999814548],[0.700866600003792],0,,,0,,,0,,,0,,,0,,,0,,,None,0,5,5,21,112.26354609997361,,,,,,,,,,,01-2/024_Green_0.png,112.18331629998283,112.18348019997939,01-2/024_Green_0.png,True,Green,2,100,1,"[1.321121300017694, 2.4042595000064466]",01-2/024_Green_0.png,6,,112.18861779998406,112.26354609997361,112.26354609997361,112.26354609997361,112.26354609997361,112.26354609997361,112.26354609997361,112.26354609997361,112.26354609997361,112.26354609997361,112.26354609997361,112.46411279999302,113.04675439998391,117.56292529997882,Green,2,"['space', 'space']","[0.4255684999807272, 1.523872299992945]","[0.09795110000413842, 0.13414430001284927]",0,,,0,,,0,,,0,,,0,,,1,[5.378191399999196],[5.3781980000203475],Green,120.36507269999129,120.37979439998162,120.74476659999345,120.71428119999473,117.92096489999676,117.96201399998972,117.96201399998972,0.00794139999197796,117.96201399998972,,119.22992389998399,120.36488009997993,5.0,1.2801216999941971,"[(5.0, 1.2801216999941971)]","[0.38333333333333336, 0.0575]","[0.0, -0.305]","[1, 1]","[0, 0]","[0, 0]","[1.043215899990173, 2.4425704999885056]","[None, 'button2']",1,[2.451123099977849],[2.4511268999776803],0,,,0,,,0,,,0,,,0,,,0,,,120.72700929999701,120.74476659999345,120.74476659999345,120.74476659999345,120.74476659999345,120.74476659999345,120.74476659999345,120.74476659999345,121.41784109998844,1,[0.7008521999814548],[0.700866600003792],0,,,0,,,0,,,0,,,0,,,0,,,None,121.41821109998273,121.43139549999614,121.86240419998649,121.76517239998793,"['Cyan', 'Blue', 'Blue', 'Cyan', 'Red', 'Green']",,,117.96201399998972,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,018_Yellow.jpg,True,Yellow,100,88,0,01-2/018_Yellow_0.png,None,6,6,0,"['space', 'space']","[0.44774560001678765, 1.548022500006482]","[0.14320459999726154, 0.07033459999365732]",0,,,1,[5.586980299995048],[5.58699019998312],0,,,0,,,0,,,0,,,5.0,1.497906900011003,"[(5.0, 1.497906900011003)]","[0.3641666666666667, 0.0275]","[0.0008333333333333334, -0.2925]","[1, 1]","[0, 0]","[0, 0]","[1.2594469000177924, 2.6726685000176076]","[None, 'button2']",1,[2.6745862000097986],[2.6745967000024393],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.1867035999894142],[1.1867197999963537],0,,,0,,,0,,,0,,,0,,,0,,,None,0,6,6,13,121.86240419998649,,,,,,,,,,,01-2/018_Yellow_0.png,121.76559539997834,121.76568919999409,01-2/018_Yellow_0.png,True,Yellow,100,88,0,"[1.3818144999968354, 2.4690038999833632]",01-2/018_Yellow_0.png,7,,121.7711298999784,121.86240419998649,121.86240419998649,121.86240419998649,121.86240419998649,121.86240419998649,121.86240419998649,121.86240419998649,121.86240419998649,121.86240419998649,121.86240419998649,122.07881829998223,122.66221559999394,127.35409189999336,Yellow,2,"['space', 'space']","[0.44774560001678765, 1.548022500006482]","[0.14320459999726154, 0.07033459999365732]",0,,,1,[5.586980299995048],[5.58699019998312],0,,,0,,,0,,,0,,,Yellow,130.38116509999963,130.39782879999257,130.76121039999998,130.7313892999955,127.70514629999525,127.74484909998137,127.74484909998137,0.0009877000120468438,127.74484909998137,,129.26109939999878,130.38066669998807,5.0,1.497906900011003,"[(5.0, 1.497906900011003)]","[0.3641666666666667, 0.0275]","[0.0008333333333333334, -0.2925]","[1, 1]","[0, 0]","[0, 0]","[1.2594469000177924, 2.6726685000176076]","[None, 'button2']",1,[2.6745862000097986],[2.6745967000024393],0,,,0,,,0,,,0,,,0,,,0,,,130.74675339998794,130.76121039999998,130.76121039999998,130.76121039999998,130.76121039999998,130.76121039999998,130.76121039999998,130.76121039999998,131.91984729998512,1,[1.1867035999894142],[1.1867197999963537],0,,,0,,,0,,,0,,,0,,,0,,,None,131.92024799998035,131.93033219999052,132.3455268999969,132.26346419999027,"['Cyan', 'Blue', 'Blue', 'Cyan', 'Red', 'Green', 'Yellow']",,,,127.74484909998137,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,029_Green.jpg,False,Green,6,100,5,01-2/029_Green_0.png,Yellow,7,7,0,"['space', 'space']","[0.36670199999934994, 1.3115581000165548]","[0.11621700000250712, 0.1519572999968659]",0,,,0,,,0,,,0,,,0,,,1,[5.039544200000819],[5.0395588999963365],5.0,2.1330673999909777,"[(5.0, 2.1330673999909777)]","[0.37833333333333335, -0.013333333333333334]","[-0.0075, -0.2758333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.8843963000108488, 3.2667891000164673]","[None, 'button2']",1,[3.2887980999948923],[3.2888099999981932],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6021846999938134],[0.6021999999938998],0,,,0,,,0,,,0,,,0,,,0,,,None,0,7,7,24,132.3455268999969,,,,,,,,,,,01-2/029_Green_0.png,132.2641724999994,132.26431049997336,01-2/029_Green_0.png,False,Green,6,100,5,"[1.330964499997208, 2.2965349000005517]",01-2/029_Green_0.png,8,,132.26843569998164,132.3455268999969,132.3455268999969,132.3455268999969,132.3455268999969,132.3455268999969,132.3455268999969,132.3455268999969,132.3455268999969,132.3455268999969,132.3455268999969,132.54511259999708,133.17877329999465,137.3063691999996,Green,2,"['space', 'space']","[0.36670199999934994, 1.3115581000165548]","[0.11621700000250712, 0.1519572999968659]",0,,,0,,,0,,,0,,,0,,,1,[5.039544200000819],[5.0395588999963365],Green,140.9479255999904,140.9642424999911,141.32722680000006,141.29800319997594,137.65026319999015,137.67827439997927,137.67827439997927,0.021779799979412928,137.67827439997927,,139.84409299999243,140.94733669998823,5.0,2.1330673999909777,"[(5.0, 2.1330673999909777)]","[0.37833333333333335, -0.013333333333333334]","[-0.0075, -0.2758333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.8843963000108488, 3.2667891000164673]","[None, 'button2']",1,[3.2887980999948923],[3.2888099999981932],0,,,0,,,0,,,0,,,0,,,0,,,141.3117638999829,141.32722680000006,141.32722680000006,141.32722680000006,141.32722680000006,141.32722680000006,141.32722680000006,141.32722680000006,141.90249680000124,1,[0.6021846999938134],[0.6021999999938998],0,,,0,,,0,,,0,,,0,,,0,,,None,141.9028277999896,141.9133918999869,142.34538369998336,142.24700849998044,"['Cyan', 'Blue', 'Blue', 'Cyan', 'Red', 'Green', 'Yellow', 'Green']",,,137.67827439997927,,,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
01-2,016_Purple.jpg,True,Purple,64,0,92,01-2/016_Purple_0.png,None,8,8,0,"['space', 'space']","[0.8170410000020638, 1.4364531000028364]","[0.1430042999854777, 0.15231729997321963]",0,,,0,,,1,[8.03165980000631],[8.031665200018324],0,,,0,,,0,,,5.0,1.6484283000172582,"[(5.0, 1.6484283000172582)]","[0.3675, 0.06]","[-0.016666666666666666, -0.2991666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.3970351000025403, 2.8128069000085816]","[None, 'button2']",1,[2.815948000003118],[2.8159516000014264],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7831282000115607],[0.783138400001917],0,,,0,,,0,,,0,,,0,,,0,,,None,0,8,8,9,142.34538369998336,,,,,,,,,,,01-2/016_Purple_0.png,142.2477342999773,142.24789529998088,01-2/016_Purple_0.png,True,Purple,64,0,92,"[1.7244320000172593, 2.3043372000101954]",01-2/016_Purple_0.png,9,,142.25287820000085,142.34538369998336,142.34538369998336,142.34538369998336,142.34538369998336,142.34538369998336,142.34538369998336,142.34538369998336,142.34538369998336,142.34538369998336,142.34538369998336,142.5619002999738,143.11161469999934,150.28085449998616,Purple,2,"['space', 'space']","[0.8170410000020638, 1.4364531000028364]","[0.1430042999854777, 0.15231729997321963]",0,,,0,,,1,[8.03165980000631],[8.031665200018324],0,,,0,,,0,,,Purple,153.4478060999827,153.46566689998144,150.66075049998472,153.81304939999245,150.63367650000146,150.66075049998472,150.66075049998472,0.0027295000036247075,150.66075049998472,,152.3441217999789,153.44761299999664,5.0,1.6484283000172582,"[(5.0, 1.6484283000172582)]","[0.3675, 0.06]","[-0.016666666666666666, -0.2991666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.3970351000025403, 2.8128069000085816]","[None, 'button2']",1,[2.815948000003118],[2.8159516000014264],0,,,0,,,0,,,0,,,0,,,0,,,153.81911609999952,153.8292286999931,153.8292286999931,153.8292286999931,153.8292286999931,153.8292286999931,153.8292286999931,153.8292286999931,154.58240349998232,1,[0.7831282000115607],[0.783138400001917],0,,,0,,,0,,,0,,,0,,,0,,,None,154.58262559998548,154.59710610000184,155.0124578999821,154.930623799999,"['Cyan', 'Blue', 'Blue', 'Cyan', 'Red', 'Green', 'Yellow', 'Green', 'Purple']",,,,,150.66075049998472,,,,,,,,,,,,,,,,,,,,,,001,004-t,2026-03-28_21h44.03.052,TestStep1,,2026.1.1,59.92836164215291,2026-03-28 21h44.04.066341 +0100,
